run_id,experiment_id,condition,variant,seed,sequence_id,motor_rhythm_power,motor_frequency_hz,oscillating_mn_fraction,key_accuracy,precision,timing_mae_s,timing_jitter_s,misses,extra_contacts,energy_proxy,joint_velocity_rms
A1_tonic_full_s00,A1,tonic,full,0,tonic,0.8413451313972473,8.770833333333334,0.030612244897959183,,0.0,,,0,0,10.29531478881836,0.19712156057357788
A1_tonic_full_s01,A1,tonic,full,1,tonic,0.7462985515594482,8.76923076923077,0.03316326530612245,,0.0,,,0,0,17.400602340698242,0.2595100700855255
A1_tonic_full_s02,A1,tonic,full,2,tonic,0.7712901830673218,9.375,0.02040816326530612,,0.0,,,0,0,4.588249206542969,0.13065822422504425
A1_tonic_full_s03,A1,tonic,full,3,tonic,0.7539552450180054,8.65,0.025510204081632654,,0.0,,,0,0,23.595430374145508,0.2993338108062744
A1_tonic_full_s04,A1,tonic,full,4,tonic,0.7214270234107971,8.839285714285714,0.03571428571428571,,0.0,,,0,0,22.44900894165039,0.28977906703948975
A1_tonic_full_s05,A1,tonic,full,5,tonic,0.7022345066070557,8.75,0.02040816326530612,,0.0,,,0,0,4.563292980194092,0.13301293551921844
A1_tonic_full_s06,A1,tonic,full,6,tonic,0.7433818578720093,8.95,0.012755102040816327,,0.0,,,0,0,5.481156349182129,0.14750173687934875
A1_tonic_full_s07,A1,tonic,full,7,tonic,0.55275559425354,8.277777777777779,0.02295918367346939,,0.0,,,0,0,9.167080879211426,0.1903625875711441
A1_tonic_no_cpg_s00,A1,tonic,no_cpg,0,tonic,0.0,,0.0,,0.0,,,0,0,0.09027040004730225,0.031008882448077202
A1_tonic_no_cpg_s01,A1,tonic,no_cpg,1,tonic,0.0,,0.0,,0.0,,,0,0,0.0898478776216507,0.030946670100092888
A1_tonic_no_cpg_s02,A1,tonic,no_cpg,2,tonic,0.0,,0.0,,0.0,,,0,0,0.0865836814045906,0.030320102348923683
A1_tonic_no_cpg_s03,A1,tonic,no_cpg,3,tonic,0.0,,0.0,,0.0,,,0,0,0.08686865121126175,0.03037285804748535
A1_tonic_no_cpg_s04,A1,tonic,no_cpg,4,tonic,0.0,,0.0,,0.0,,,0,0,0.11270222067832947,0.03502483665943146
A1_tonic_no_cpg_s05,A1,tonic,no_cpg,5,tonic,0.0,,0.0,,0.0,,,0,0,0.08613783866167068,0.030234795063734055
A1_tonic_no_cpg_s06,A1,tonic,no_cpg,6,tonic,0.0,,0.0,,0.0,,,0,0,0.10712917149066925,0.03403541445732117
A1_tonic_no_cpg_s07,A1,tonic,no_cpg,7,tonic,0.0,,0.0,,0.0,,,0,0,0.08460944145917892,0.029948407784104347
A1_tonic_no_delay_s00,A1,tonic,no_delay,0,tonic,0.5038983821868896,15.25,0.007653061224489796,,0.0,,,0,0,0.5267746448516846,0.06112748757004738
A1_tonic_no_delay_s01,A1,tonic,no_delay,1,tonic,0.5960254073143005,12.75,0.007653061224489796,,0.0,,,0,0,0.8003216981887817,0.06432313472032547
A1_tonic_no_delay_s02,A1,tonic,no_delay,2,tonic,0.0,,0.0,,0.0,,,0,0,0.2668980360031128,0.04920676723122597
A1_tonic_no_delay_s03,A1,tonic,no_delay,3,tonic,0.6019196510314941,15.0,0.00510204081632653,,0.0,,,0,0,0.7017379403114319,0.06239231675863266
A1_tonic_no_delay_s04,A1,tonic,no_delay,4,tonic,0.580685019493103,14.5,0.007653061224489796,,0.0,,,0,0,1.064367651939392,0.08330918848514557
A1_tonic_no_delay_s05,A1,tonic,no_delay,5,tonic,0.0,,0.0,,0.0,,,0,0,0.2300022691488266,0.042974721640348434
A1_tonic_no_delay_s06,A1,tonic,no_delay,6,tonic,0.0,,0.0,,0.0,,,0,0,0.3661641776561737,0.060107190161943436
A1_tonic_no_delay_s07,A1,tonic,no_delay,7,tonic,0.0,,0.0,,0.0,,,0,0,0.37651240825653076,0.052506688982248306
A1_tonic_no_dn_s00,A1,tonic,no_dn,0,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s01,A1,tonic,no_dn,1,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s02,A1,tonic,no_dn,2,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s03,A1,tonic,no_dn,3,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s04,A1,tonic,no_dn,4,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s05,A1,tonic,no_dn,5,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s06,A1,tonic,no_dn,6,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_dn_s07,A1,tonic,no_dn,7,tonic,0.0,,0.0,,0.0,,,0,0,0.08412132412195206,0.029856404289603233
A1_tonic_no_inhibition_s00,A1,tonic,no_inhibition,0,tonic,0.0,,0.0,,0.0,,,0,7,7.55094575881958,0.30587708950042725
A1_tonic_no_inhibition_s01,A1,tonic,no_inhibition,1,tonic,0.0,,0.0,,0.0,,,0,6,9.072745323181152,0.3190135359764099
A1_tonic_no_inhibition_s02,A1,tonic,no_inhibition,2,tonic,0.0,,0.0,,0.0,,,0,7,5.058305740356445,0.2542998790740967
A1_tonic_no_inhibition_s03,A1,tonic,no_inhibition,3,tonic,0.0,,0.0,,0.0,,,0,2,5.0750041007995605,0.2376329004764557
A1_tonic_no_inhibition_s04,A1,tonic,no_inhibition,4,tonic,0.0,,0.0,,0.0,,,0,7,8.086019515991211,0.31156185269355774
A1_tonic_no_inhibition_s05,A1,tonic,no_inhibition,5,tonic,0.0,,0.0,,0.0,,,0,3,5.000504493713379,0.25197547674179077
A1_tonic_no_inhibition_s06,A1,tonic,no_inhibition,6,tonic,0.0,,0.0,,0.0,,,0,5,6.583094596862793,0.26921457052230835
A1_tonic_no_inhibition_s07,A1,tonic,no_inhibition,7,tonic,0.0,,0.0,,0.0,,,0,6,7.629675388336182,0.2998764216899872
A1_tonic_randomized_s00,A1,tonic,randomized,0,tonic,0.0,,0.0,,0.0,,,0,5,9.40352725982666,0.32312244176864624
A1_tonic_randomized_s01,A1,tonic,randomized,1,tonic,0.0,,0.0,,0.0,,,0,8,9.148568153381348,0.32016247510910034
A1_tonic_randomized_s02,A1,tonic,randomized,2,tonic,0.0,,0.0,,0.0,,,0,6,8.39545726776123,0.30520832538604736
A1_tonic_randomized_s03,A1,tonic,randomized,3,tonic,0.0,,0.0,,0.0,,,0,8,10.074539184570312,0.33571657538414
A1_tonic_randomized_s04,A1,tonic,randomized,4,tonic,0.0,,0.0,,0.0,,,0,10,11.69919490814209,0.3579459488391876
A1_tonic_randomized_s05,A1,tonic,randomized,5,tonic,0.0,,0.0,,0.0,,,0,9,10.96626091003418,0.34668317437171936
A1_tonic_randomized_s06,A1,tonic,randomized,6,tonic,0.0,,0.0,,0.0,,,0,7,8.99113941192627,0.3134763836860657
A1_tonic_randomized_s07,A1,tonic,randomized,7,tonic,0.0,,0.0,,0.0,,,0,6,7.686944007873535,0.29218849539756775
A2_down_large_full_s00,A2,down_large,full,0,1d3eb94610b602b8,0.026077352464199066,1.0,0.01020408163265306,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_large_full_s01,A2,down_large,full,1,d4b5f24b166dfc13,0.03263835981488228,1.0,0.007653061224489796,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_large_full_s02,A2,down_large,full,2,9c27d0905127f2eb,0.03081347420811653,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,46.93961715698242,0.7111257910728455
A2_down_large_full_s03,A2,down_large,full,3,1d3eb94610b602b8,0.0,,0.0,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_large_full_s04,A2,down_large,full,4,d4b5f24b166dfc13,0.019023574888706207,1.0,0.002551020408163265,0.3333333333333333,1.0,0.10899999999999999,0.0011547005383791243,8,0,23.52406120300293,0.5015299916267395
A2_down_large_full_s05,A2,down_large,full,5,9c27d0905127f2eb,0.02236919291317463,1.0,0.002551020408163265,0.3333333333333333,1.0,0.11649999999999999,0.006608075867199508,8,0,46.19208526611328,0.70838463306427
A2_down_large_full_s06,A2,down_large,full,6,1d3eb94610b602b8,0.03855603188276291,1.0,0.00510204081632653,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_full_s07,A2,down_large,full,7,d4b5f24b166dfc13,0.019739914685487747,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_large_no_cpg_s00,A2,down_large,no_cpg,0,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_no_cpg_s01,A2,down_large,no_cpg,1,d4b5f24b166dfc13,0.0,,0.0,0.0,0.0,,,12,0,15.84249210357666,0.4103125035762787
A2_down_large_no_cpg_s02,A2,down_large,no_cpg,2,9c27d0905127f2eb,0.0,,0.0,0.25,1.0,0.11466666666666676,0.004618802153517011,9,0,45.1477165222168,0.7008123993873596
A2_down_large_no_cpg_s03,A2,down_large,no_cpg,3,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_no_cpg_s04,A2,down_large,no_cpg,4,d4b5f24b166dfc13,0.0,,0.0,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_large_no_cpg_s05,A2,down_large,no_cpg,5,9c27d0905127f2eb,0.0,,0.0,0.25,1.0,0.11466666666666676,0.004618802153517011,9,0,45.1477165222168,0.7008123993873596
A2_down_large_no_cpg_s06,A2,down_large,no_cpg,6,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_no_cpg_s07,A2,down_large,no_cpg,7,d4b5f24b166dfc13,0.0,,0.0,0.0,0.0,,,12,0,15.84249210357666,0.4103125035762787
A2_down_large_no_feedback_s00,A2,down_large,no_feedback,0,1d3eb94610b602b8,0.02614290453493595,1.0,0.01020408163265306,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_large_no_feedback_s01,A2,down_large,no_feedback,1,d4b5f24b166dfc13,0.032645758241415024,1.0,0.007653061224489796,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_large_no_feedback_s02,A2,down_large,no_feedback,2,9c27d0905127f2eb,0.030199818313121796,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,46.992008209228516,0.7112351655960083
A2_down_large_no_feedback_s03,A2,down_large,no_feedback,3,1d3eb94610b602b8,0.0,,0.0,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_large_no_feedback_s04,A2,down_large,no_feedback,4,d4b5f24b166dfc13,0.019023634493350983,1.0,0.002551020408163265,0.3333333333333333,1.0,0.10899999999999999,0.0011547005383791243,8,0,23.53073501586914,0.5014791488647461
A2_down_large_no_feedback_s05,A2,down_large,no_feedback,5,9c27d0905127f2eb,0.02345706894993782,1.0,0.002551020408163265,0.3333333333333333,1.0,0.1175,0.008225975119501861,8,0,46.17530822753906,0.708116352558136
A2_down_large_no_feedback_s06,A2,down_large,no_feedback,6,1d3eb94610b602b8,0.03856431320309639,1.0,0.00510204081632653,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_no_feedback_s07,A2,down_large,no_feedback,7,d4b5f24b166dfc13,0.019745875149965286,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_small_full_s00,A2,down_small,full,0,1d3eb94610b602b8,0.30160456895828247,7.4,0.012755102040816327,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_small_full_s01,A2,down_small,full,1,d4b5f24b166dfc13,0.6381471753120422,8.333333333333334,0.015306122448979591,0.4166666666666667,1.0,0.1116,0.0016733200530681261,7,0,24.711894989013672,0.5127997398376465
A2_down_small_full_s02,A2,down_small,full,2,9c27d0905127f2eb,0.2789677679538727,6.5,0.007653061224489796,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,47.43001174926758,0.7124667167663574
