seed,context,task_state_rms,vnc_rate_rms,joint_rms,interpretation
0,mirrored,0.0,0.097495898604393,0.1715620905160904,"task invariance is imposed by context-free engineering, not learned"
0,shifted,0.0,0.1088925153017044,0.19121815264225006,"task invariance is imposed by context-free engineering, not learned"
0,spacing,0.0,0.0806049033999443,0.051511380821466446,"task invariance is imposed by context-free engineering, not learned"
0,height,0.0,0.09410036355257034,0.10263784974813461,"task invariance is imposed by context-free engineering, not learned"
1,mirrored,0.0,0.04820786789059639,0.1230587437748909,"task invariance is imposed by context-free engineering, not learned"
1,shifted,0.0,0.10990649461746216,0.10346813499927521,"task invariance is imposed by context-free engineering, not learned"
1,spacing,0.0,0.09325729310512543,0.05360395088791847,"task invariance is imposed by context-free engineering, not learned"
1,height,0.0,0.10320273786783218,0.08613717555999756,"task invariance is imposed by context-free engineering, not learned"
2,mirrored,0.0,0.07463075965642929,0.22035972774028778,"task invariance is imposed by context-free engineering, not learned"
2,shifted,0.0,0.03698777034878731,0.10268017649650574,"task invariance is imposed by context-free engineering, not learned"
2,spacing,0.0,0.022031297907233238,0.07570432871580124,"task invariance is imposed by context-free engineering, not learned"
2,height,0.0,0.06361913681030273,0.12845493853092194,"task invariance is imposed by context-free engineering, not learned"
3,mirrored,0.0,0.0954478308558464,0.1717911809682846,"task invariance is imposed by context-free engineering, not learned"
3,shifted,0.0,0.060312703251838684,0.19125907123088837,"task invariance is imposed by context-free engineering, not learned"
3,spacing,0.0,0.044576842337846756,0.05151243880391121,"task invariance is imposed by context-free engineering, not learned"
3,height,0.0,0.15092384815216064,0.10221074521541595,"task invariance is imposed by context-free engineering, not learned"
4,mirrored,0.0,0.03982621803879738,0.12335510551929474,"task invariance is imposed by context-free engineering, not learned"
4,shifted,0.0,0.03454599902033806,0.1036171168088913,"task invariance is imposed by context-free engineering, not learned"
4,spacing,0.0,0.026696959510445595,0.05363592132925987,"task invariance is imposed by context-free engineering, not learned"
4,height,0.0,0.06904742866754532,0.08548509329557419,"task invariance is imposed by context-free engineering, not learned"
5,mirrored,0.0,0.08886542916297913,0.22004005312919617,"task invariance is imposed by context-free engineering, not learned"
5,shifted,0.0,0.05780291184782982,0.10240957885980606,"task invariance is imposed by context-free engineering, not learned"
5,spacing,0.0,0.04307325929403305,0.07543918490409851,"task invariance is imposed by context-free engineering, not learned"
5,height,0.0,0.06407202780246735,0.12773899734020233,"task invariance is imposed by context-free engineering, not learned"
6,mirrored,0.0,0.055334463715553284,0.16769766807556152,"task invariance is imposed by context-free engineering, not learned"
6,shifted,0.0,0.09123746305704117,0.18070201575756073,"task invariance is imposed by context-free engineering, not learned"
6,spacing,0.0,0.01800321415066719,0.05027420446276665,"task invariance is imposed by context-free engineering, not learned"
6,height,0.0,0.08133376389741898,0.10179825872182846,"task invariance is imposed by context-free engineering, not learned"
7,mirrored,0.0,0.042265020310878754,0.12296327203512192,"task invariance is imposed by context-free engineering, not learned"
7,shifted,0.0,0.04521710053086281,0.10285631567239761,"task invariance is imposed by context-free engineering, not learned"
7,spacing,0.0,0.08540221303701401,0.05323418974876404,"task invariance is imposed by context-free engineering, not learned"
7,height,0.0,0.10962998121976852,0.08548513054847717,"task invariance is imposed by context-free engineering, not learned"
