experiment_id,condition,variant,metric,n,n_seeds,n_sequences,n_connectome_instances,mean,median,sd,ci_low,ci_high
A1,tonic,full,motor_rhythm_power,8,8,0,1,0.7290860116481781,0.7448402047157288,0.08226655551335965,0.6709826320409775,0.7763156369328499
A1,tonic,full,motor_frequency_hz,8,8,0,1,8.79776594932845,8.770032051282051,0.3056940414571882,8.595502232142856,9.001888020833334
A1,tonic,full,oscillating_mn_fraction,8,8,0,1,0.02519132653061224,0.02423469387755102,0.007645465132072612,0.020089285714285712,0.02998246173469391
A1,tonic,full,key_accuracy,0,8,0,1,,,,,
A1,tonic,full,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,full,timing_mae_s,0,8,0,1,,,,,
A1,tonic,full,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,full,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,full,extra_contacts,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,full,energy_proxy,8,8,0,1,12.19251698255539,9.731197834014893,7.893678871086158,7.241843079030514,17.607898473739624
A1,tonic,full,joint_velocity_rms,8,8,0,1,0.2059099990874529,0.193742074072361,0.06901582842629003,0.16189845656044782,0.25195407564751804
A1,tonic,no_cpg,motor_rhythm_power,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_cpg,motor_frequency_hz,0,8,0,1,,,,,
A1,tonic,no_cpg,oscillating_mn_fraction,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_cpg,key_accuracy,0,8,0,1,,,,,
A1,tonic,no_cpg,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_cpg,timing_mae_s,0,8,0,1,,,,,
A1,tonic,no_cpg,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,no_cpg,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_cpg,extra_contacts,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_cpg,energy_proxy,8,8,0,1,0.0930186603218317,0.08835826441645622,0.010700120864113576,0.08682958879508078,0.10047174154315144
A1,tonic,no_cpg,joint_velocity_rms,8,8,0,1,0.03148649586364627,0.03065976407378912,0.001929822377604712,0.030367546383058653,0.032830665429355574
A1,tonic,no_delay,motor_rhythm_power,8,8,0,1,0.2853160575032234,0.2519491910934448,0.3064590866524232,0.07450317591428757,0.49539215862751007
A1,tonic,no_delay,motor_frequency_hz,4,8,0,1,14.375,14.75,1.1273124382057236,13.3125,15.125
A1,tonic,no_delay,oscillating_mn_fraction,8,8,0,1,0.0035076530612244894,0.002551020408163265,0.0038416852482339677,0.0009566326530612245,0.006058673469387755
A1,tonic,no_delay,key_accuracy,0,8,0,1,,,,,
A1,tonic,no_delay,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_delay,timing_mae_s,0,8,0,1,,,,,
A1,tonic,no_delay,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,no_delay,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_delay,extra_contacts,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_delay,energy_proxy,8,8,0,1,0.5415973532944918,0.45164352655410767,0.2919571499035906,0.3624265916645527,0.744200033787638
A1,tonic,no_delay,joint_velocity_rms,8,8,0,1,0.05949343694373965,0.06061733886599541,0.012127091848211848,0.052195241313893345,0.067907320917584
A1,tonic,no_dn,motor_rhythm_power,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_dn,motor_frequency_hz,0,8,0,1,,,,,
A1,tonic,no_dn,oscillating_mn_fraction,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_dn,key_accuracy,0,8,0,1,,,,,
A1,tonic,no_dn,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_dn,timing_mae_s,0,8,0,1,,,,,
A1,tonic,no_dn,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,no_dn,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_dn,extra_contacts,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_dn,energy_proxy,8,8,0,1,0.08412132412195206,0.08412132412195206,0.0,0.08412132412195206,0.08412132412195206
A1,tonic,no_dn,joint_velocity_rms,8,8,0,1,0.029856404289603233,0.029856404289603233,0.0,0.029856404289603233,0.029856404289603233
A1,tonic,no_inhibition,motor_rhythm_power,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_inhibition,motor_frequency_hz,0,8,0,1,,,,,
A1,tonic,no_inhibition,oscillating_mn_fraction,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_inhibition,key_accuracy,0,8,0,1,,,,,
A1,tonic,no_inhibition,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_inhibition,timing_mae_s,0,8,0,1,,,,,
A1,tonic,no_inhibition,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,no_inhibition,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,no_inhibition,extra_contacts,8,8,0,1,5.375,6.0,1.9226098333849673,4.125,6.5
A1,tonic,no_inhibition,energy_proxy,8,8,0,1,6.757036864757538,7.0670201778411865,1.5743966377959608,5.747658729553223,7.7732758358120915
A1,tonic,no_inhibition,joint_velocity_rms,8,8,0,1,0.2811814658343792,0.28454549610614777,0.03146177334347526,0.2609207762405276,0.3011743947863579
A1,tonic,randomized,motor_rhythm_power,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,randomized,motor_frequency_hz,0,8,0,1,,,,,
A1,tonic,randomized,oscillating_mn_fraction,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,randomized,key_accuracy,0,8,0,1,,,,,
A1,tonic,randomized,precision,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,randomized,timing_mae_s,0,8,0,1,,,,,
A1,tonic,randomized,timing_jitter_s,0,8,0,1,,,,,
A1,tonic,randomized,misses,8,8,0,1,0.0,0.0,0.0,0.0,0.0
A1,tonic,randomized,extra_contacts,8,8,0,1,7.375,7.5,1.685018016012207,6.25,8.5
A1,tonic,randomized,energy_proxy,8,8,0,1,9.545703887939453,9.276047706604004,1.3201028596478532,8.715270626544953,10.445658922195435
A1,tonic,randomized,joint_velocity_rms,8,8,0,1,0.3243129774928093,0.3216424584388733,0.02169493162516009,0.31061206283047793,0.33892277255654335
A2,down_large,full,motor_rhythm_power,8,8,3,1,0.02365223760716617,0.024223272688686848,0.011697638983898103,0.015344953862950206,0.03046948807896115
A2,down_large,full,motor_frequency_hz,7,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,down_large,full,oscillating_mn_fraction,8,8,3,1,0.0047831632653061226,0.00510204081632653,0.0031796516703015937,0.002869897959183673,0.006696428571428571
A2,down_large,full,key_accuracy,8,8,3,1,0.3125,0.3333333333333333,0.13176156917368248,0.21875,0.375
A2,down_large,full,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A2,down_large,full,timing_mae_s,7,8,3,1,0.11207142857142857,0.11200000000000002,0.0023171205447813,0.11057142857142857,0.11378571428571428
A2,down_large,full,timing_jitter_s,7,8,3,1,0.0023900447197298144,0.0014142135623730963,0.002095516523325128,0.0012288471166631986,0.003911078667393642
A2,down_large,full,misses,8,8,3,1,8.25,8.0,1.5811388300841898,7.5,9.375
A2,down_large,full,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,full,energy_proxy,8,8,3,1,31.43884563446045,28.054959297180176,10.180702801004713,25.567286014556885,38.418603122234344
A2,down_large,full,joint_velocity_rms,8,8,3,1,0.5746724493801594,0.5463085174560547,0.09258128602829101,0.5214818380773067,0.6388527401722968
A2,down_large,no_cpg,motor_rhythm_power,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,no_cpg,motor_frequency_hz,0,8,3,1,,,,,
A2,down_large,no_cpg,oscillating_mn_fraction,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,no_cpg,key_accuracy,8,8,3,1,0.10416666666666666,0.0,0.146045763647444,0.03125,0.20833333333333331
A2,down_large,no_cpg,precision,8,8,3,1,0.375,0.0,0.5175491695067657,0.125,0.75
A2,down_large,no_cpg,timing_mae_s,3,8,3,1,0.11344444444444451,0.11466666666666676,0.002116950987028659,0.11100000000000004,0.11466666666666676
A2,down_large,no_cpg,timing_jitter_s,3,8,3,1,0.0034641016151377795,0.004618802153517011,0.001999999999999965,0.0011547005383793166,0.004618802153517011
A2,down_large,no_cpg,misses,8,8,3,1,10.75,12.0,1.7525491637693282,9.5,11.625
A2,down_large,no_cpg,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,no_cpg,energy_proxy,8,8,3,1,26.802024126052856,23.03765296936035,11.75929964621992,19.51136350631714,35.05765247344971
A2,down_large,no_cpg,joint_velocity_rms,8,8,3,1,0.526527401059866,0.49715474247932434,0.11410260447854863,0.4540712311863899,0.602730218321085
A2,down_large,no_feedback,motor_rhythm_power,8,8,3,1,0.023722421610727906,0.024799986742436886,0.01164006817316497,0.015402138233184814,0.03044745022780262
A2,down_large,no_feedback,motor_frequency_hz,7,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,down_large,no_feedback,oscillating_mn_fraction,8,8,3,1,0.0047831632653061226,0.00510204081632653,0.0031796516703015937,0.002869897959183673,0.006696428571428571
A2,down_large,no_feedback,key_accuracy,8,8,3,1,0.3125,0.3333333333333333,0.13176156917368248,0.21875,0.375
A2,down_large,no_feedback,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A2,down_large,no_feedback,timing_mae_s,7,8,3,1,0.11221428571428572,0.11200000000000002,0.0026435005651777722,0.11057142857142857,0.11421428571428571
A2,down_large,no_feedback,timing_jitter_s,7,8,3,1,0.002621173184344436,0.0014142135623730963,0.0026532838551828882,0.0012288471166631986,0.004604464061237508
A2,down_large,no_feedback,misses,8,8,3,1,8.25,8.0,1.5811388300841898,7.5,9.375
A2,down_large,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,no_feedback,energy_proxy,8,8,3,1,31.44413161277771,28.05829620361328,10.187901385576128,25.567286014556885,38.427527481317526
A2,down_large,no_feedback,joint_velocity_rms,8,8,3,1,0.5746462307870388,0.546283096075058,0.09255475947037037,0.5214818380773067,0.6388141938485206
A2,down_small,full,motor_rhythm_power,8,8,3,1,0.5100218616425991,0.521258682012558,0.17352154415141488,0.40114749744534495,0.6232789697125555
