checkpoint,learning_seconds,physics_steps,split,piece,precision,recall,f1,matched,target_notes,actual_notes,missed,extra,solver_warnings
0 phút,0.0,180000,train,merry,0.06818181818181818,0.1276595744680851,0.08888888888888888,6,47,88,41,82,0
0 phút,0.0,180000,train,pool,0.04878048780487805,0.15,0.07361963190184048,6,40,123,34,117,0
0 phút,0.0,180000,validation,merry,0.06280193236714976,0.13131313131313133,0.08496732026143791,13,99,207,86,194,0
0 phút,0.0,180000,validation,pool,0.09316770186335403,0.1724137931034483,0.12096774193548386,15,87,161,72,146,0
1 phút,64.68320610000046,960000,train,merry,0.06818181818181818,0.1276595744680851,0.08888888888888888,6,47,88,41,82,0
1 phút,64.68320610000046,960000,train,pool,0.04878048780487805,0.15,0.07361963190184048,6,40,123,34,117,0
1 phút,64.68320610000046,960000,validation,merry,0.06280193236714976,0.13131313131313133,0.08496732026143791,13,99,207,86,194,0
1 phút,64.68320610000046,960000,validation,pool,0.09316770186335403,0.1724137931034483,0.12096774193548386,15,87,161,72,146,0
5 phút,300.03574420000314,3720000,train,merry,0.14285714285714285,0.2765957446808511,0.18840579710144928,13,47,91,34,78,0
5 phút,300.03574420000314,3720000,train,pool,0.03361344537815126,0.1,0.050314465408805034,4,40,119,36,115,0
5 phút,300.03574420000314,3720000,validation,merry,0.109375,0.21212121212121213,0.14432989690721648,21,99,192,78,171,0
5 phút,300.03574420000314,3720000,validation,pool,0.13580246913580246,0.25287356321839083,0.17670682730923695,22,87,162,65,140,0
15 phút,903.4186266000006,12300000,train,merry,0.14285714285714285,0.2765957446808511,0.18840579710144928,13,47,91,34,78,0
15 phút,903.4186266000006,12300000,train,pool,0.03361344537815126,0.1,0.050314465408805034,4,40,119,36,115,0
15 phút,903.4186266000006,12300000,validation,merry,0.109375,0.21212121212121213,0.14432989690721648,21,99,192,78,171,0
15 phút,903.4186266000006,12300000,validation,pool,0.13580246913580246,0.25287356321839083,0.17670682730923695,22,87,162,65,140,0
